date,poids_peluche
09/05/17,9.8
15/05/17,9.6
20/05/17,9.4
26/05/17,9.2
01/06/17,8.9
08/06/17,9.3
24/06/17,9.1
29/06/17,8.9
06/07/17,8.9
13/07/17,8.9
20/07/17,8.9
27/07/17,8.9
03/08/17,8.9
10/08/17,8.7
17/08/17,8.6
24/08/17,8.1
31/08/17,7.8
07/09/17,8.3
16/09/17,8.1
21/09/17,8.3
28/09/17,8.2
05/10/17,8.4
12/10/17,8.5
19/10/17,8.4
26/10/17,8.4
02/11/17,8.3
10/11/17,8.5
16/11/17,9.1
23/11/17,8.6
30/11/17,8.5
08/12/17,8.9
14/12/17,9.1
22/12/17,8.9
28/12/17,9
04/01/18,9
11/01/18,9
18/01/18,9.1
25/01/18,9.1
01/02/18,8.9
09/02/18,9.1
15/02/18,9.1
22/02/18,9.4
02/03/18,9.1
08/03/18,9.5
15/03/18,9.2
22/03/18,9.4
29/03/18,9.2
06/04/18,9.3
12/04/18,9.6
19/04/18,9.5
26/04/18,9.4
03/05/18,9.6
10/05/18,9.4
17/05/18,9.6
25/05/18,9.3
31/05/18,9.6
07/06/18,9.4
14/06/18,9.4
28/06/18,9.2
05/07/18,9.1
12/07/18,8.9
19/07/18,8.9
27/07/18,8.9
02/08/18,9
23/08/18,9.1
30/08/18,8.9
06/09/18,9
13/09/18,9.1
20/09/18,8.9
27/09/18,8.9
04/10/18,8.8
11/10/18,8.6
18/10/18,9.1
27/10/18,8.8
08/11/18,8.7
15/11/18,9
22/11/18,8.9
06/12/18,9.2
13/12/18,9.4
20/12/18,9.7
27/12/18,8.9
03/01/19,9.2
10/01/19,8.9
17/01/19,8.9
24/01/19,9.2
31/01/19,8.8
07/02/19,9.3
22/02/19,9
14/03/19,9.2
21/03/19,9
28/03/19,9.2
04/04/19,9.1
11/04/19,9.6
18/04/19,9.6
25/04/19,9.5
02/05/19,9.3
09/05/19,9.2
16/05/19,9
23/05/19,8.8
30/05/19,8.8
06/06/19,8.6
13/06/19,8.7
04/07/19,8.2
11/07/19,8.3
18/07/19,8.3
25/07/19,8.4
01/08/19,8.3
09/08/19,7.7
15/08/19,7.8
22/08/19,7.7
29/08/19,7.6
05/09/19,7.3
12/09/19,7.5
19/09/19,7.3
26/09/19,7.4
03/10/19,7.5
10/10/19,7.1
17/10/19,7.3
25/10/19,7.1
07/11/19,7.3
14/11/19,6.9
